objectid,year, Scientific_ Name, Verification_ Method, Identification_ Credibility,lat,lon,,,Year,Occurrences
615749,1976,Agama agama africana,Voucher Specimens,Verified,25.837,-80.3114,,,2002,1
615711,2002,Agama agama africana,Voucher Specimens,Verified,25.5362,-80.4522,,,2003,7
615337,2003,Agama agama africana,Voucher Photographs,Verified,25.0628,-80.4753,,,2004,0
615305,2003,Agama agama africana,Voucher Photographs,Verified,25.6138,-80.4709,,,2005,0
615701,2003,Agama agama africana,Voucher Specimens,Verified,26.046,-80.2192,,,2006,2
614940,2003,Agama agama africana,Expertise,Verified,26.9388,-82.0247,,,2007,4
615674,2003,Agama agama africana,Voucher Specimens,Verified,26.941,-82.0315,,,2008,1
615702,2003,Agama agama africana,Voucher Specimens,Verified,27.064,-80.3213,,,2009,4
609106,2003,Agama agama africana,Voucher Specimens,Verified,28.7689,-81.2817,,,2010,5
614768,2006,Agama agama africana,Voucher Photographs,Verified,26.4668,-82.1598,,,2011,11
614741,2006,Agama agama africana,,Credible,27.7763,-82.4119,,,2012,13
615264,2007,Agama agama africana,Voucher Photographs,Verified,27.1419,-80.2163,,,2013,18
615522,2007,Agama agama africana,Voucher Photographs,Verified,27.1874,-80.2432,,,2014,23
615748,2007,Agama agama africana,Voucher Specimens,Verified,27.7931,-82.3835,,,2015,28
615463,2007,Agama agama africana,Voucher Photographs,Verified,30.3783,-81.6207,,,2016,35
614727,2008,Agama agama africana,,Credible,27.9505,-82.4626,,,,
618280,2009,Agama agama africana,Voucher Photographs,Verified,24.8044,-80.8483,,,,
618281,2009,Agama agama africana,Expertise,Verified,25.5286,-80.457,,,,
618282,2009,Agama agama africana,,Credible,27.1763,-80.2357,,,,
619654,2009,Agama agama africana,Voucher Photographs,Verified,30.5286,-81.4821,,,,
1160361,2010,Agama agama africana,Voucher Photographs,Verified,25.0276,-80.496,,,,
632973,2010,Agama agama africana,Voucher Photographs,Verified,25.4848,-80.4787,,,,
1163039,2010,Agama agama africana,,Credible,27.0636,-80.1285,,,,
1184613,2010,Agama agama africana,Voucher Photographs,Verified,27.1768,-80.2363,,,,
1161564,2010,Agama agama africana,,Credible,27.1775,-80.25,,,,
1346520,2011,Agama agama africana,Expertise,Verified,25.2911,-80.4454,,,,
2818770,2011,Agama agama africana,Voucher Photographs,Verified,25.4996,-80.3658,,,,
1712904,2011,Agama agama africana,Voucher Photographs,Verified,25.5228,-80.4681,,,,
1333034,2011,Agama agama africana,Voucher Photographs,Verified,25.537,-80.4769,,,,
1817386,2011,Agama agama africana,Voucher Photographs,Verified,25.676,-80.2761,,,,
1817380,2011,Agama agama africana,Expertise,Verified,26.6177,-80.1094,,,,
1817093,2011,Agama agama africana,,Credible,27.1334,-80.2068,,,,
1817091,2011,Agama agama africana,Voucher Photographs,Verified,27.1606,-80.2259,,,,
1817061,2011,Agama agama africana,,Credible,27.1721,-80.292,,,,
1355897,2011,Agama agama africana,,Credible,27.176,-80.2512,,,,
1817084,2011,Agama agama africana,Voucher Photographs,Verified,27.2726,-80.3188,,,,
2462609,2012,Agama agama africana,Voucher Photographs,Verified,25.1591,-80.3897,,,,
2818562,2012,Agama agama africana,Voucher Photographs,Verified,25.4908,-80.3829,,,,
2276373,2012,Agama agama africana,,Credible,25.5294,-80.4979,,,,
2025024,2012,Agama agama africana,Expertise,Verified,25.5359,-80.4726,,,,
2027672,2012,Agama agama africana,,Credible,25.5586,-80.4535,,,,
2410130,2012,Agama agama africana,,Credible,26.2701,-81.6917,,,,
2276953,2012,Agama agama africana,Voucher Photographs,Verified,27.0619,-80.3258,,,,
2416485,2012,Agama agama africana,Voucher Photographs,Verified,27.0904,-80.2812,,,,
2278603,2012,Agama agama africana,Voucher Photographs,Verified,27.1035,-80.2663,,,,
2279034,2012,Agama agama africana,Voucher Photographs,Verified,27.1552,-80.2196,,,,
2278845,2012,Agama agama africana,Expertise,Verified,27.1617,-80.3012,,,,
2463066,2012,Agama agama africana,Voucher Photographs,Verified,27.1743,-80.3462,,,,
2409564,2012,Agama agama africana,Voucher Photographs,Verified,27.2005,-80.2557,,,,
3060189,2013,Agama agama africana,,Credible,25.0912,-80.4598,,,,
3101765,2013,Agama agama africana,Voucher Photographs,Verified,25.5005,-80.4444,,,,
3058904,2013,Agama agama africana,Expertise,Credible,25.643,-80.2958,,,,
3058176,2013,Agama agama africana,Voucher Photographs,Verified,25.6774,-80.2826,,,,
2818816,2013,Agama agama africana,Voucher Photographs,Verified,26.046,-80.2492,,,,
3059106,2013,Agama agama africana,Voucher Photographs,Verified,26.8692,-80.1068,,,,
3044508,2013,Agama agama africana,,Credible,26.9048,-80.306,,,,
3060430,2013,Agama agama africana,Voucher Photographs,Verified,26.9858,-80.6052,,,,
3059964,2013,Agama agama africana,Voucher Photographs,Verified,27.0194,-80.4652,,,,
4208246,2013,Agama agama africana,Expertise,Credible,27.0586,-80.5663,,,,
3059669,2013,Agama agama africana,Voucher Photographs,Verified,27.1683,-80.3381,,,,
2646638,2013,Agama agama africana,,Credible,27.1714,-80.2681,,,,
