objectid,year, Scientific_ Name, Verification_ Method, Identification_ Credibility,lat,lon,,Year,Occurrences
615746,2000,Anolis sagrei ,Voucher Specimens,Verified,26.7639,-82.265,,2000,2
615601,2000,Anolis sagrei ,Voucher Specimens,Verified,30.0589,-83.9066,,2001,3
615633,2001,Anolis sagrei ,Voucher Specimens,Verified,27.0353,-80.6368,,2002,0
615635,2001,Anolis sagrei ,Voucher Specimens,Verified,29.4913,-82.8633,,2003,0
615636,2001,Anolis sagrei ,Voucher Specimens,Verified,29.5913,-82.933,,2004,0
615670,2007,Anolis sagrei ,Voucher Specimens,Verified,30.4832,-84.2569,,2005,0
1817057,2007,Anolis sagrei ,,Credible,30.7301,-85.1872,,2006,0
1817059,2007,Anolis sagrei ,,Credible,30.7525,-85.5471,,2007,4
1817060,2007,Anolis sagrei ,,Credible,31.0087,-85.4073,,2008,2
615469,2008,Anolis sagrei ,Voucher Photographs,Verified,28.8375,-81.681,,2009,3
615385,2008,Anolis sagrei ,Voucher Photographs,Verified,30.4024,-86.8516,,2010,1
633071,2009,Anolis sagrei ,Voucher Photographs,Verified,27.2665,-82.5522,,2011,25
3130647,2009,Anolis sagrei ,Voucher Photographs,Verified,29.0918,-82.2662,,2012,25
618279,2009,Anolis sagrei ,Voucher Photographs,Verified,30.3956,-87.0905,,2013,38
1289593,2010,Anolis sagrei ,Voucher Photographs,Verified,27.8722,-82.2827,,2014,25
2684580,2011,Anolis sagrei ,Expertise,Verified,25.395,-80.584,,2015,19
2684516,2011,Anolis sagrei ,Expertise,Verified,25.4837,-80.5636,,2016,17
2684547,2011,Anolis sagrei ,Expertise,Verified,25.558,-80.5521,,,
2684541,2011,Anolis sagrei ,Expertise,Verified,25.604,-80.5172,,,
2684567,2011,Anolis sagrei ,Expertise,Verified,25.6237,-80.4971,,,
2684565,2011,Anolis sagrei ,Expertise,Verified,25.6577,-80.7663,,,
2689714,2011,Anolis sagrei ,Expertise,Verified,25.6829,-80.6731,,,
2684492,2011,Anolis sagrei ,Expertise,Verified,25.7483,-80.9377,,,
2684557,2011,Anolis sagrei ,Expertise,Verified,25.7606,-80.4985,,,
2684485,2011,Anolis sagrei ,Expertise,Verified,25.7608,-80.828,,,
2684583,2011,Anolis sagrei ,Expertise,Verified,25.761,-80.8279,,,
2684585,2011,Anolis sagrei ,Expertise,Verified,25.7612,-80.908,,,
2684584,2011,Anolis sagrei ,Expertise,Verified,25.7613,-80.9091,,,
2684514,2011,Anolis sagrei ,Expertise,Verified,25.7617,-80.5025,,,
2684561,2011,Anolis sagrei ,Expertise,Verified,25.8883,-81.2621,,,
2684519,2011,Anolis sagrei ,Expertise,Verified,25.9112,-81.366,,,
2684558,2011,Anolis sagrei ,Expertise,Verified,25.9635,-80.4565,,,
2684542,2011,Anolis sagrei ,Expertise,Verified,26.0604,-81.6949,,,
2684517,2011,Anolis sagrei ,Expertise,Verified,26.0961,-81.2651,,,
2684539,2011,Anolis sagrei ,Expertise,Verified,26.3337,-80.5837,,,
2684535,2011,Anolis sagrei ,Expertise,Verified,26.3338,-80.5521,,,
2684549,2011,Anolis sagrei ,Expertise,Verified,26.3563,-80.301,,,
2684574,2011,Anolis sagrei ,Expertise,Verified,26.4703,-80.4456,,,
2684553,2011,Anolis sagrei ,Expertise,Verified,26.8536,-80.293,,,
2684559,2011,Anolis sagrei ,Expertise,Verified,26.8613,-80.4155,,,
2651853,2012,Anolis sagrei ,Expertise,Verified,25.1374,-80.9334,,,
2684534,2012,Anolis sagrei ,Expertise,Verified,25.2537,-80.7979,,,
2651910,2012,Anolis sagrei ,Expertise,Verified,25.4408,-80.7836,,,
2684572,2012,Anolis sagrei ,Expertise,Verified,25.7612,-80.8876,,,
2684499,2012,Anolis sagrei ,Expertise,Verified,25.7612,-80.8278,,,
2651861,2012,Anolis sagrei ,Expertise,Verified,25.7886,-81.1003,,,
2684530,2012,Anolis sagrei ,Expertise,Verified,25.904,-81.2216,,,
2651684,2012,Anolis sagrei ,Expertise,Verified,25.9334,-81.65,,,
2651682,2012,Anolis sagrei ,Expertise,Verified,25.9519,-81.484,,,
2684550,2012,Anolis sagrei ,Expertise,Verified,26.0077,-80.4424,,,
2651951,2012,Anolis sagrei ,Expertise,Verified,26.06,-80.4464,,,
2651822,2012,Anolis sagrei ,Expertise,Verified,26.0605,-81.6949,,,
2684528,2012,Anolis sagrei ,Expertise,Verified,26.1444,-80.4484,,,
2651966,2012,Anolis sagrei ,Expertise,Verified,26.149,-81.3461,,,
2651672,2012,Anolis sagrei ,Expertise,Verified,26.2304,-80.4595,,,
2651919,2012,Anolis sagrei ,Expertise,Verified,26.2876,-80.2982,,,
2651945,2012,Anolis sagrei ,Expertise,Verified,26.333,-80.7169,,,
2684554,2012,Anolis sagrei ,Expertise,Verified,26.333,-80.6355,,,
2651905,2012,Anolis sagrei ,Expertise,Verified,26.3724,-80.5136,,,
2651867,2012,Anolis sagrei ,Expertise,Verified,26.499,-80.2219,,,
2684533,2012,Anolis sagrei ,Expertise,Verified,26.5927,-80.2718,,,
2684490,2012,Anolis sagrei ,Expertise,Verified,26.6839,-80.3693,,,
2684506,2012,Anolis sagrei ,Expertise,Verified,26.9438,-80.355,,,
2684556,2012,Anolis sagrei ,Expertise,Verified,26.9638,-80.2887,,,
2463206,2012,Anolis sagrei ,Voucher Photographs,Verified,30.4859,-86.4163,,,
3045375,2013,Anolis sagrei ,Photographs,Verified,25.0923,-80.4438,,,
3128995,2013,Anolis sagrei ,Expertise,Verified,25.1449,-80.9248,,,
3109854,2013,Anolis sagrei ,Expertise,Verified,25.2891,-80.4434,,,
3083120,2013,Anolis sagrei ,Expertise,Verified,25.36,-80.5735,,,
3109900,2013,Anolis sagrei ,Expertise,Verified,25.3618,-80.5254,,,
2684725,2013,Anolis sagrei ,Expertise,Verified,25.3742,-80.4931,,,
3128986,2013,Anolis sagrei ,Expertise,Verified,25.398,-80.524,,,
2818848,2013,Anolis sagrei ,Expertise,Verified,25.4029,-80.5581,,,
3067746,2013,Anolis sagrei ,Expertise,Verified,25.4063,-80.5216,,,
3129278,2013,Anolis sagrei ,Expertise,Verified,25.4188,-80.575,,,
3128978,2013,Anolis sagrei ,Expertise,Verified,25.4333,-80.473,,,
3129272,2013,Anolis sagrei ,Expertise,Verified,25.4478,-80.3496,,,
3128926,2013,Anolis sagrei ,Expertise,Verified,25.5278,-80.5604,,,
3059029,2013,Anolis sagrei ,Expertise,Verified,25.6085,-80.5124,,,
3059005,2013,Anolis sagrei ,Expertise,Verified,25.7608,-80.6738,,,
3109942,2013,Anolis sagrei ,Expertise,Verified,25.7613,-80.8278,,,
3067996,2013,Anolis sagrei ,Expertise,Verified,25.7621,-80.8194,,,
3067754,2013,Anolis sagrei ,Expertise,Verified,25.9422,-80.4398,,,
3060716,2013,Anolis sagrei ,,Credible,25.9982,-80.3449,,,
3129276,2013,Anolis sagrei ,Expertise,Verified,26.0599,-80.4464,,,
3067994,2013,Anolis sagrei ,Expertise,Verified,26.0604,-80.4453,,,
2935971,2013,Anolis sagrei ,Expertise,Verified,26.1498,-80.4424,,,
2935973,2013,Anolis sagrei ,Expertise,Verified,26.1782,-80.4466,,,
3129007,2013,Anolis sagrei ,Expertise,Verified,26.2182,-81.3445,,,
3059054,2013,Anolis sagrei ,Expertise,Verified,26.2183,-80.3978,,,
3083079,2013,Anolis sagrei ,Expertise,Verified,26.2299,-80.2977,,,
3044595,2013,Anolis sagrei ,Expertise,Verified,26.23,-80.2979,,,
3128998,2013,Anolis sagrei ,Expertise,Verified,26.2301,-80.4597,,,
3083091,2013,Anolis sagrei ,Expertise,Verified,26.2301,-80.2985,,,
3058987,2013,Anolis sagrei ,Expertise,Verified,26.3335,-80.6527,,,
3058995,2013,Anolis sagrei ,Expertise,Verified,26.4334,-80.8114,,,
3109890,2013,Anolis sagrei ,Expertise,Verified,26.6809,-80.2505,,,
3060249,2013,Anolis sagrei ,Voucher Photographs,Verified,27.373,-81.0444,,,
2954046,2013,Anolis sagrei ,Voucher Photographs,Verified,27.4638,-82.585,,,
