objectid,year, Scientific_ Name, Verification_ Method, Identification_ Credibility,lat,lon,,,Year,Occurrences
615690,2002,Basiliscus vittatus ,Voucher Specimens,Verified,26.2533,-81.8218,,,2002,1
615293,2003,Basiliscus vittatus ,Voucher Photographs,Verified,26.705,-80.3105,,,2003,2
615698,2003,Basiliscus vittatus ,Voucher Specimens,Verified,27.4703,-80.4975,,,2004,1
615669,2004,Basiliscus vittatus ,Voucher Specimens,Verified,26.2004,-81.6286,,,2005,1
609083,2005,Basiliscus vittatus ,,Credible,28.5818,-81.3982,,,2006,0
615340,2007,Basiliscus vittatus ,Voucher Photographs,Verified,25.8207,-80.3105,,,2007,3
615316,2007,Basiliscus vittatus ,Voucher Photographs,Verified,26.0369,-80.1721,,,2008,9
615317,2007,Basiliscus vittatus ,Voucher Photographs,Verified,26.0507,-80.1712,,,2009,8
615280,2008,Basiliscus vittatus ,Voucher Photographs,Verified,25.8134,-80.3394,,,2010,9
615279,2008,Basiliscus vittatus ,Voucher Photographs,Verified,26.0391,-80.2323,,,2011,9
615382,2008,Basiliscus vittatus ,Voucher Photographs,Verified,26.2725,-80.1997,,,2012,19
631046,2008,Basiliscus vittatus ,Voucher Photographs,Verified,26.6035,-82.0017,,,2013,17
615665,2008,Basiliscus vittatus ,Voucher Specimens,Verified,26.7449,-80.8979,,,2014,32
615493,2008,Basiliscus vittatus ,Voucher Photographs,Verified,27.7338,-80.3825,,,2015,28
2689674,2008,Basiliscus vittatus ,,Credible,27.7575,-80.4034,,,2016,55
608919,2008,Basiliscus vittatus ,,Credible,27.7961,-82.2447,,,,
615276,2008,Basiliscus vittatus ,Voucher Photographs,Verified,27.8511,-80.4536,,,,
4233780,2009,Basiliscus vittatus ,Expertise,Credible,26.1031,-80.31,,,,
618549,2009,Basiliscus vittatus ,Voucher Photographs,Verified,26.1382,-80.2479,,,,
618288,2009,Basiliscus vittatus ,Expertise,Verified,26.4502,-81.6819,,,,
619665,2009,Basiliscus vittatus ,Voucher Photographs,Verified,26.5786,-81.8401,,,,
616401,2009,Basiliscus vittatus ,,Credible,26.7343,-80.1411,,,,
619277,2009,Basiliscus vittatus ,,Credible,27.0978,-80.2717,,,,
619666,2009,Basiliscus vittatus ,Voucher Photographs,Verified,27.6428,-80.4753,,,,
615933,2009,Basiliscus vittatus ,Voucher Photographs,Verified,27.6461,-80.5025,,,,
3058258,2010,Basiliscus vittatus ,Voucher Photographs,Verified,25.6432,-80.294,,,,
1331097,2010,Basiliscus vittatus ,Voucher Photographs,Verified,25.7275,-80.4564,,,,
1331098,2010,Basiliscus vittatus ,Expertise,Verified,25.7437,-80.4806,,,,
1331102,2010,Basiliscus vittatus ,Voucher Photographs,Verified,25.7616,-80.4349,,,,
1184617,2010,Basiliscus vittatus ,,Credible,26.2772,-80.2235,,,,
991072,2010,Basiliscus vittatus ,,Credible,26.4783,-80.1432,,,,
1163275,2010,Basiliscus vittatus ,,Credible,26.6899,-80.1887,,,,
1163277,2010,Basiliscus vittatus ,Voucher Photographs,Verified,26.6958,-80.8054,,,,
2689675,2010,Basiliscus vittatus ,,Credible,26.8967,-80.1058,,,,
1818500,2011,Basiliscus vittatus ,,Credible,25.5715,-80.3231,,,,
1818501,2011,Basiliscus vittatus ,,Credible,25.6813,-80.2768,,,,
1331105,2011,Basiliscus vittatus ,Voucher Photographs,Verified,25.7679,-80.4485,,,,
1713035,2011,Basiliscus vittatus ,,Credible,25.8212,-80.3381,,,,
1712898,2011,Basiliscus vittatus ,Voucher Photographs,Verified,26.1289,-80.2596,,,,
1713047,2011,Basiliscus vittatus ,,Credible,26.6221,-80.1995,,,,
2651725,2011,Basiliscus vittatus ,Expertise,Verified,26.6799,-80.2007,,,,
2651719,2011,Basiliscus vittatus ,Expertise,Verified,26.6806,-80.2252,,,,
1659417,2011,Basiliscus vittatus ,Voucher Photographs,Verified,27.2208,-80.2291,,,,
2279061,2012,Basiliscus vittatus ,Voucher Photographs,Verified,25.1239,-80.4072,,,,
2030253,2012,Basiliscus vittatus ,Expertise,Verified,25.2917,-80.454,,,,
2025022,2012,Basiliscus vittatus ,Voucher Photographs,Verified,25.4856,-80.3645,,,,
2416385,2012,Basiliscus vittatus ,,Credible,25.5321,-80.4988,,,,
2279119,2012,Basiliscus vittatus ,Voucher Photographs,Verified,25.5565,-80.359,,,,
2025258,2012,Basiliscus vittatus ,,Credible,26.0751,-80.3236,,,,
2417243,2012,Basiliscus vittatus ,Voucher Photographs,Verified,26.0852,-80.2409,,,,
2277066,2012,Basiliscus vittatus ,Voucher Photographs,Verified,26.121,-80.2682,,,,
2651634,2012,Basiliscus vittatus ,Expertise,Verified,26.1497,-80.4427,,,,
2462873,2012,Basiliscus vittatus ,Voucher Photographs,Verified,26.2162,-81.7433,,,,
2641818,2012,Basiliscus vittatus ,,Credible,26.2904,-80.282,,,,
2411180,2012,Basiliscus vittatus ,Voucher Photographs,Verified,26.4273,-80.1538,,,,
2411493,2012,Basiliscus vittatus ,Voucher Photographs,Verified,26.5856,-80.1612,,,,
2651774,2012,Basiliscus vittatus ,Expertise,Verified,26.6775,-80.1122,,,,
2651765,2012,Basiliscus vittatus ,Expertise,Verified,26.6777,-80.1248,,,,
2651734,2012,Basiliscus vittatus ,Expertise,Verified,26.6784,-80.1535,,,,
2651749,2012,Basiliscus vittatus ,Expertise,Verified,26.6786,-80.1642,,,,
2279037,2012,Basiliscus vittatus ,,Credible,26.7033,-80.2995,,,,
2278528,2012,Basiliscus vittatus ,Voucher Photographs,Verified,26.9293,-80.1062,,,,
