objectid,year, Scientific_ Name, Verification_ Method, Identification_ Credibility,lat,lon,,,Year,Occurrences
619691,2006,Boa constrictor ,Voucher Photographs,Verified,30.3639,-81.5672,,,2006,1
2276157,2007,Boa constrictor ,Voucher Photographs,Verified,26.5702,-81.8262,,,2007,1
1184661,2008,Boa constrictor ,Specimens,Verified,25.5511,-80.4292,,,2008,4
1983295,2008,Boa constrictor ,Voucher Specimens,Verified,25.6222,-80.3047,,,2009,27
615375,2008,Boa constrictor ,Voucher Photographs,Verified,28.6458,-80.9469,,,2010,18
619689,2008,Boa constrictor ,Voucher Photographs,Verified,30.7033,-85.686,,,2011,17
618830,2009,Boa constrictor ,Voucher Photographs,Verified,24.6908,-81.3756,,,2012,18
1184733,2009,Boa constrictor ,Specimens,Verified,25.4836,-80.4401,,,2013,18
1184694,2009,Boa constrictor ,Specimens,Verified,25.5794,-80.3761,,,2014,22
1184725,2009,Boa constrictor ,Specimens,Verified,25.5985,-80.3571,,,2015,24
1184680,2009,Boa constrictor ,Specimens,Verified,25.601,-80.348,,,2016,23
1184727,2009,Boa constrictor ,Specimens,Verified,25.617,-80.4146,,,,
1184649,2009,Boa constrictor ,Specimens,Verified,25.6328,-80.343,,,,
618291,2009,Boa constrictor ,Voucher Photographs,Verified,25.6502,-80.274,,,,
1184682,2009,Boa constrictor ,Specimens,Verified,25.7028,-80.3508,,,,
1184692,2009,Boa constrictor ,Specimens,Verified,25.7036,-80.3803,,,,
1194111,2009,Boa constrictor ,Specimens,Verified,25.7487,-80.4244,,,,
1184673,2009,Boa constrictor ,Specimens,Verified,25.7609,-80.4813,,,,
1184656,2009,Boa constrictor ,Specimens,Verified,25.7609,-80.4304,,,,
1184645,2009,Boa constrictor ,Specimens,Verified,25.7627,-80.228,,,,
1184655,2009,Boa constrictor ,Specimens,Verified,25.7684,-80.3404,,,,
1184650,2009,Boa constrictor ,Specimens,Verified,25.8243,-80.2002,,,,
1184684,2009,Boa constrictor ,Specimens,Verified,25.8404,-80.1844,,,,
1184703,2009,Boa constrictor ,Specimens,Verified,25.8412,-80.32,,,,
615783,2009,Boa constrictor ,Voucher Photographs,Verified,25.9248,-80.419,,,,
633076,2009,Boa constrictor ,Expertise,Verified,26.0527,-80.285,,,,
633078,2009,Boa constrictor ,Specimens,Verified,26.0587,-80.4483,,,,
2689663,2009,Boa constrictor ,Voucher Photographs,Verified,26.0708,-80.2799,,,,
2689668,2009,Boa constrictor ,Voucher Photographs,Verified,26.1358,-80.3572,,,,
633077,2009,Boa constrictor ,Voucher Photographs,Verified,26.1828,-81.7952,,,,
618289,2009,Boa constrictor ,Voucher Photographs,Verified,26.7855,-81.9005,,,,
619692,2009,Boa constrictor ,Voucher Photographs,Verified,27.9165,-82.2113,,,,
619690,2009,Boa constrictor ,Voucher Photographs,Verified,28.6037,-81.1904,,,,
1332791,2010,Boa constrictor ,Specimens,Verified,25.3952,-80.566,,,,
1184732,2010,Boa constrictor ,Specimens,Verified,25.5056,-80.4231,,,,
3109812,2010,Boa constrictor ,Specimens,Verified,25.6143,-80.3063,,,,
3109813,2010,Boa constrictor ,Specimens,Verified,25.6242,-80.3069,,,,
633462,2010,Boa constrictor ,Voucher Photographs,Verified,25.6414,-80.2973,,,,
1184731,2010,Boa constrictor ,Specimens,Verified,25.6852,-80.4313,,,,
1332780,2010,Boa constrictor ,Specimens,Verified,25.6869,-80.371,,,,
1332776,2010,Boa constrictor ,Specimens,Verified,25.688,-80.4469,,,,
1332779,2010,Boa constrictor ,Specimens,Verified,25.7124,-80.3688,,,,
1456393,2010,Boa constrictor ,Voucher Specimens,Verified,25.7523,-80.4506,,,,
1332788,2010,Boa constrictor ,Specimens,Verified,25.8165,-80.2096,,,,
1184729,2010,Boa constrictor ,Specimens,Verified,25.8668,-80.2104,,,,
1332781,2010,Boa constrictor ,Specimens,Verified,25.9305,-80.2216,,,,
1332782,2010,Boa constrictor ,Specimens,Verified,25.9385,-80.3449,,,,
1184728,2010,Boa constrictor ,Specimens,Verified,25.9415,-80.3165,,,,
1301966,2010,Boa constrictor ,Voucher Photographs,Verified,26.5275,-80.2133,,,,
1301923,2010,Boa constrictor ,Voucher Photographs,Verified,27.3744,-80.344,,,,
1301927,2010,Boa constrictor ,Voucher Photographs,Verified,30.438,-84.4965,,,,
2409835,2011,Boa constrictor ,Specimens,Verified,25.553,-80.3858,,,,
2409852,2011,Boa constrictor ,Specimens,Verified,25.5682,-80.3562,,,,
2409849,2011,Boa constrictor ,Specimens,Verified,25.582,-80.3873,,,,
1966483,2011,Boa constrictor ,Specimens,Verified,25.6674,-80.4219,,,,
2409859,2011,Boa constrictor ,Specimens,Verified,25.6728,-80.379,,,,
1966457,2011,Boa constrictor ,Specimens,Verified,25.6806,-80.4224,,,,
2409858,2011,Boa constrictor ,Specimens,Verified,25.6996,-80.2724,,,,
2409853,2011,Boa constrictor ,Specimens,Verified,25.7095,-80.4617,,,,
1966459,2011,Boa constrictor ,Specimens,Verified,25.7264,-80.3235,,,,
2409854,2011,Boa constrictor ,Specimens,Verified,25.7289,-80.3447,,,,
2409833,2011,Boa constrictor ,Specimens,Verified,25.8717,-80.2179,,,,
2409855,2011,Boa constrictor ,Specimens,Verified,25.9475,-80.2609,,,,
2409856,2011,Boa constrictor ,Specimens,Verified,26.0445,-80.2165,,,,
1817085,2011,Boa constrictor ,Voucher Photographs,Verified,26.1946,-80.2258,,,,
1713032,2011,Boa constrictor ,Voucher Photographs,Verified,26.2077,-80.2156,,,,
1659471,2011,Boa constrictor ,Voucher Photographs,Verified,26.346,-80.2019,,,,
1350935,2011,Boa constrictor ,Photographs,Verified,27.6106,-80.3922,,,,
2482463,2012,Boa constrictor ,Voucher Photographs,Verified,24.5556,-81.7594,,,,
2641417,2012,Boa constrictor ,Voucher Photographs,Verified,24.5695,-81.6702,,,,
2482462,2012,Boa constrictor ,Voucher Photographs,Verified,24.6721,-81.3639,,,,
2278865,2012,Boa constrictor ,Voucher Photographs,Verified,25.3659,-80.5659,,,,
2483491,2012,Boa constrictor ,Expertise,Verified,25.4624,-80.4278,,,,
2485830,2012,Boa constrictor ,Voucher Photographs,Verified,25.647,-80.2896,,,,
2409861,2012,Boa constrictor ,Specimens,Verified,25.9023,-80.1551,,,,
2271957,2012,Boa constrictor ,Voucher Photographs,Verified,26.0225,-80.162,,,,
3067778,2012,Boa constrictor ,Expertise,Verified,26.2922,-80.1345,,,,
2418587,2012,Boa constrictor ,Voucher Photographs,Verified,26.7268,-82.039,,,,
2641432,2012,Boa constrictor ,Voucher Photographs,Verified,27.0221,-80.1601,,,,
2019798,2012,Boa constrictor ,Voucher Photographs,Verified,27.9898,-81.8666,,,,
2483688,2012,Boa constrictor ,Voucher Photographs,Verified,28.186,-81.8721,,,,
2411182,2012,Boa constrictor ,Voucher Photographs,Verified,28.3539,-81.6464,,,,
2022495,2012,Boa constrictor ,Voucher Photographs,Verified,28.3754,-82.6947,,,,
2483687,2012,Boa constrictor ,Voucher Photographs,Verified,28.5677,-81.544,,,,
2641429,2012,Boa constrictor ,Voucher Photographs,Verified,29.3249,-81.8745,,,,
2642345,2012,Boa constrictor ,Voucher Photographs,Verified,30.3875,-82.2269,,,,
3129268,2013,Boa constrictor ,Voucher Photographs,Verified,25.1979,-80.3506,,,,
3128414,2013,Boa constrictor ,Voucher Photographs,Verified,25.5672,-80.3258,,,,
3100608,2013,Boa constrictor ,Voucher Photographs,Verified,25.6111,-80.3069,,,,
3044524,2013,Boa constrictor ,Expertise,Verified,25.861,-80.3095,,,,
3059049,2013,Boa constrictor ,Voucher Photographs,Verified,25.9393,-80.1728,,,,
3058049,2013,Boa constrictor ,Voucher Photographs,Verified,26.3453,-81.7248,,,,
3083149,2013,Boa constrictor ,Voucher Photographs,Verified,26.6292,-80.1221,,,,
4427791,2013,Boa constrictor ,Photographs,Verified,26.6775,-81.6163,,,,
2818822,2013,Boa constrictor ,Voucher Photographs,Verified,26.7146,-81.6694,,,,
3083148,2013,Boa constrictor ,Voucher Photographs,Verified,27.196,-80.2318,,,,
2689946,2013,Boa constrictor ,Voucher Photographs,Verified,27.2235,-81.8073,,,,
2651607,2013,Boa constrictor ,Voucher Photographs,Verified,27.5068,-82.4729,,,,
2651614,2013,Boa constrictor ,Voucher Photographs,Verified,27.5303,-80.3918,,,,
2656752,2013,Boa constrictor ,Voucher Photographs,Verified,27.9605,-82.73,,,,
