objectid,year, Scientific_ Name, Verification_ Method, Identification_ Credibility,lat,lon,,,Year,Occurrences
615030,2000,Ctenosaura similis ,Expertise,Verified,26.8151,-82.274,,,2000,2
615031,2000,Ctenosaura similis ,Expertise,Verified,26.8257,-82.2704,,,2001,0
615033,2002,Ctenosaura similis ,Expertise,Verified,26.0078,-81.7576,,,2002,5
614675,2002,Ctenosaura similis ,,Verified,26.0625,-81.7838,,,2003,0
614676,2002,Ctenosaura similis ,,Verified,26.672,-82.2451,,,2004,0
615034,2002,Ctenosaura similis ,Expertise,Verified,26.8503,-82.2943,,,2005,2
615035,2002,Ctenosaura similis ,Expertise,Verified,26.9385,-82.2264,,,2006,3
614682,2005,Ctenosaura similis ,,Credible,24.7026,-81.3291,,,2007,5
615291,2005,Ctenosaura similis ,Voucher Photographs,Verified,26.7639,-82.265,,,2008,5
632764,2006,Ctenosaura similis ,Voucher Photographs,Verified,26.5918,-82.0163,,,2009,2
632765,2006,Ctenosaura similis ,Voucher Photographs,Verified,26.613,-81.9919,,,2010,2
632763,2006,Ctenosaura similis ,Voucher Photographs,Verified,26.6415,-81.9125,,,2011,11
615339,2007,Ctenosaura similis ,Voucher Photographs,Verified,25.8149,-80.3054,,,2012,14
1335220,2007,Ctenosaura similis ,Voucher Photographs,Verified,25.8873,-80.2797,,,2013,14
615314,2007,Ctenosaura similis ,Voucher Photographs,Verified,26.0369,-80.1721,,,2014,16
619668,2007,Ctenosaura similis ,Voucher Photographs,Verified,26.0507,-80.1712,,,2015,22
615431,2007,Ctenosaura similis ,Voucher Photographs,Verified,27.1978,-82.3861,,,2016,30
615278,2008,Ctenosaura similis ,Voucher Photographs,Verified,26.0393,-80.2358,,,,
615268,2008,Ctenosaura similis ,Voucher Photographs,Verified,26.105,-80.1729,,,,
615391,2008,Ctenosaura similis ,Voucher Photographs,Verified,26.9635,-82.3812,,,,
615390,2008,Ctenosaura similis ,Voucher Photographs,Verified,26.9729,-82.374,,,,
614883,2008,Ctenosaura similis ,Expertise,Verified,27.0508,-82.4352,,,,
619570,2009,Ctenosaura similis ,Voucher Photographs,Verified,26.2608,-81.7335,,,,
618268,2009,Ctenosaura similis ,Voucher Photographs,Verified,27.2247,-82.5181,,,,
1289462,2010,Ctenosaura similis ,,Credible,24.6714,-81.3659,,,,
2019856,2010,Ctenosaura similis ,Expertise,Verified,26.6723,-81.9751,,,,
1817071,2011,Ctenosaura similis ,Voucher Photographs,Verified,24.7126,-81.3811,,,,
1817065,2011,Ctenosaura similis ,Voucher Photographs,Verified,25.6704,-80.1545,,,,
1817387,2011,Ctenosaura similis ,Voucher Photographs,Verified,25.705,-80.1582,,,,
2409871,2011,Ctenosaura similis ,Specimens,Verified,25.738,-80.2363,,,,
1969333,2011,Ctenosaura similis ,Voucher Photographs,Verified,26.0348,-80.2061,,,,
1969473,2011,Ctenosaura similis ,,Credible,26.0455,-80.1763,,,,
1816979,2011,Ctenosaura similis ,Voucher Photographs,Verified,26.047,-80.1649,,,,
1818503,2011,Ctenosaura similis ,Voucher Photographs,Verified,26.053,-80.2163,,,,
1335124,2011,Ctenosaura similis ,Voucher Photographs,Verified,26.0743,-80.2321,,,,
1659470,2011,Ctenosaura similis ,Voucher Photographs,Verified,26.1104,-80.1518,,,,
1808882,2011,Ctenosaura similis ,Voucher Photographs,Verified,26.9542,-82.1397,,,,
2411109,2012,Ctenosaura similis ,Voucher Photographs,Verified,25.838,-80.2534,,,,
2418763,2012,Ctenosaura similis ,Voucher Photographs,Verified,25.8909,-80.2103,,,,
2684778,2012,Ctenosaura similis ,,Credible,26.0202,-80.1199,,,,
2411203,2012,Ctenosaura similis ,Voucher Photographs,Verified,26.0275,-80.2053,,,,
2641420,2012,Ctenosaura similis ,Voucher Photographs,Verified,26.0354,-80.201,,,,
2641423,2012,Ctenosaura similis ,Voucher Photographs,Verified,26.0398,-80.3742,,,,
2276997,2012,Ctenosaura similis ,Voucher Photographs,Verified,26.0466,-80.2241,,,,
2641726,2012,Ctenosaura similis ,Voucher Photographs,Verified,26.0612,-80.2659,,,,
2276360,2012,Ctenosaura similis ,Voucher Photographs,Verified,26.185,-80.1228,,,,
2409771,2012,Ctenosaura similis ,,Credible,26.2676,-80.1833,,,,
2271912,2012,Ctenosaura similis ,Voucher Photographs,Verified,26.4351,-81.9182,,,,
2461967,2012,Ctenosaura similis ,,Credible,27.0079,-82.1025,,,,
2019928,2012,Ctenosaura similis ,Voucher Photographs,Verified,27.2191,-80.3993,,,,
2278834,2012,Ctenosaura similis ,,Credible,28.0208,-80.5983,,,,
3120048,2013,Ctenosaura similis ,Voucher Photographs,Verified,25.7352,-80.1622,,,,
3044518,2013,Ctenosaura similis ,Voucher Photographs,Verified,26.0145,-80.192,,,,
3060277,2013,Ctenosaura similis ,Voucher Photographs,Verified,26.0349,-80.2439,,,,
2818907,2013,Ctenosaura similis ,Voucher Photographs,Verified,26.035,-80.2008,,,,
3061047,2013,Ctenosaura similis ,,Credible,26.0443,-80.1895,,,,
