name,spp,locs,radius,slope,accel
African redhead agama,agag,42,3.66,7.84,0.74
Argentine tegu,same,144,6.77,24.01,2.24
Ball python,pyre,36,3.39,2.62,0
Black spiny-tailed iguana,ctsi,34,3.29,6.23,0.59
Brahminy blind snake,rabr,13,2.03,1.25,0.01
Brown anole,anse,16,2.26,-4.34,-1.35
Brown basilisk,bava,53,4.11,8.79,0.76
Burmese python,pymo,138,6.63,-1.37,-1.09
Common boa,boco,20,2.52,-1.29,-0.65
Green iguana,igig,129,6.41,29.43,3.42
Knight anole,aneq,48,3.91,4.92,0
Mediterranean gecko,hetu,5,1.26,0.23,0
Nile monitor,vani,46,3.83,6.28,0.54
Northern curly-tailed lizard,leca,44,3.74,6.31,0.44
Tropical house gecko,hema,1,0.56,-22.53,-5.68
