objectid,year, Scientific_ Name, Verification_ Method, Identification_ Credibility,lat,lon,,,Year,Occurrences
615603,1999,Hemidactylus turcicus ,Voucher Specimens,Verified,28.838,-82.3298,,,1999,1
615723,2001,Hemidactylus turcicus ,Voucher Specimens,Verified,29.1812,-82.1416,,,2000,0
615714,2001,Hemidactylus turcicus ,Voucher Specimens,Verified,29.7858,-82.0317,,,2001,3
615715,2001,Hemidactylus turcicus ,Voucher Specimens,Verified,29.939,-82.112,,,2002,0
615696,2003,Hemidactylus turcicus ,Voucher Specimens,Verified,29.2302,-81.0103,,,2003,2
615719,2003,Hemidactylus turcicus ,Voucher Specimens,Verified,30.2845,-82.1331,,,2004,1
615327,2004,Hemidactylus turcicus ,Voucher Photographs,Verified,28.4269,-82.1923,,,2005,0
609516,2006,Hemidactylus turcicus ,,Credible,28.8391,-81.6859,,,2006,2
615323,2006,Hemidactylus turcicus ,Voucher Photographs,Verified,28.8478,-81.6921,,,2007,1
1817095,2007,Hemidactylus turcicus ,,Credible,30.7744,-85.2269,,,2008,0
1160360,2010,Hemidactylus turcicus ,Voucher Photographs,Verified,30.4112,-86.4808,,,2009,0
2684648,2011,Hemidactylus turcicus ,Expertise,Verified,25.395,-80.584,,,2010,1
2684650,2011,Hemidactylus turcicus ,Expertise,Verified,25.4838,-80.5636,,,2011,11
2684653,2011,Hemidactylus turcicus ,Expertise,Verified,25.6117,-80.5098,,,2012,19
2684664,2011,Hemidactylus turcicus ,Expertise,Verified,25.6343,-80.4972,,,2013,2
2684639,2011,Hemidactylus turcicus ,Expertise,Verified,25.6577,-80.7664,,,2014,4
2684658,2011,Hemidactylus turcicus ,Expertise,Verified,25.7619,-80.4985,,,2015,1
2684641,2011,Hemidactylus turcicus ,Expertise,Verified,25.7621,-80.8193,,,2016,0
2684675,2011,Hemidactylus turcicus ,Expertise,Verified,25.8885,-81.2621,,,,
2684644,2011,Hemidactylus turcicus ,Expertise,Verified,26.3343,-80.5388,,,,
2684637,2011,Hemidactylus turcicus ,Expertise,Verified,26.684,-80.3894,,,,
1969375,2011,Hemidactylus turcicus ,Voucher Photographs,Verified,29.1507,-83.048,,,,
2651835,2012,Hemidactylus turcicus ,Expertise,Verified,25.1386,-80.9375,,,,
2651864,2012,Hemidactylus turcicus ,Expertise,Verified,25.1441,-80.9227,,,,
2651886,2012,Hemidactylus turcicus ,Expertise,Verified,25.4407,-80.7834,,,,
2651849,2012,Hemidactylus turcicus ,Expertise,Verified,25.5937,-80.5099,,,,
2651859,2012,Hemidactylus turcicus ,Expertise,Verified,25.761,-80.8278,,,,
2684676,2012,Hemidactylus turcicus ,Expertise,Verified,25.7617,-80.5909,,,,
2651681,2012,Hemidactylus turcicus ,Expertise,Verified,25.9334,-81.65,,,,
2651675,2012,Hemidactylus turcicus ,Expertise,Verified,25.9413,-80.4415,,,,
2651922,2012,Hemidactylus turcicus ,Expertise,Verified,26.0619,-80.4435,,,,
2651856,2012,Hemidactylus turcicus ,Expertise,Verified,26.1498,-80.4423,,,,
2651633,2012,Hemidactylus turcicus ,Expertise,Verified,26.2293,-80.2986,,,,
2651977,2012,Hemidactylus turcicus ,Expertise,Verified,26.2303,-80.4594,,,,
2651920,2012,Hemidactylus turcicus ,Expertise,Verified,26.2876,-80.2982,,,,
2684673,2012,Hemidactylus turcicus ,Expertise,Verified,26.4699,-80.4454,,,,
2651665,2012,Hemidactylus turcicus ,Expertise,Verified,26.6255,-80.3177,,,,
2651758,2012,Hemidactylus turcicus ,Expertise,Verified,26.6759,-80.3813,,,,
2651843,2012,Hemidactylus turcicus ,Expertise,Verified,26.6838,-80.3678,,,,
2684656,2012,Hemidactylus turcicus ,Expertise,Verified,26.684,-80.3692,,,,
2062590,2012,Hemidactylus turcicus ,Specimens,Verified,26.8744,-80.0991,,,,
3067690,2013,Hemidactylus turcicus ,Expertise,Verified,26.372,-80.5129,,,,
3059101,2013,Hemidactylus turcicus ,Expertise,Verified,30.1929,-84.3704,,,,
3229893,2014,Hemidactylus turcicus ,Voucher Photographs,Verified,28.2094,-82.7571,,,,
3229628,2014,Hemidactylus turcicus ,Voucher Photographs,Verified,28.8427,-81.8677,,,,
3970305,2014,Hemidactylus turcicus ,Expertise,Verified,29.6846,-85.329,,,,
3165193,2014,Hemidactylus turcicus ,Expertise,Verified,30.1741,-85.2645,,,,
4240777,2015,Hemidactylus turcicus ,Expertise,Credible,28.6656,-81.2748,,,,
