objectid,year, Scientific_ Name, Verification_ Method, Identification_ Credibility,lat,lon,,Year,Occurrences
615333,1998,Iguana iguana ,Voucher Photographs,Verified,26.1965,-81.7003,,1998,1
615335,2000,Iguana iguana ,Voucher Photographs,Verified,26.5625,-81.9635,,1999,0
615332,2001,Iguana iguana ,Voucher Photographs,Verified,24.6722,-81.5358,,2000,1
615650,2001,Iguana iguana ,Voucher Specimens,Verified,26.0234,-80.2581,,2001,3
615651,2001,Iguana iguana ,Voucher Specimens,Verified,26.0587,-80.2481,,2002,1
615302,2002,Iguana iguana ,Voucher Photographs,Verified,24.5735,-81.7498,,2003,3
619669,2003,Iguana iguana ,Voucher Specimens,Verified,24.6732,-81.3902,,2004,0
615292,2003,Iguana iguana ,Voucher Photographs,Verified,26.705,-80.3105,,2005,0
615338,2003,Iguana iguana ,Voucher Photographs,Verified,26.8772,-80.0747,,2006,1
1163279,2006,Iguana iguana ,Voucher Photographs,Verified,26.2447,-81.7451,,2007,4
615312,2007,Iguana iguana ,Voucher Photographs,Verified,26.0369,-80.1721,,2008,8
615313,2007,Iguana iguana ,Voucher Photographs,Verified,26.0507,-80.1712,,2009,8
615434,2007,Iguana iguana ,Voucher Photographs,Verified,26.0817,-80.1125,,2010,8
615318,2007,Iguana iguana ,Voucher Photographs,Verified,28.2137,-82.7455,,2011,18
615324,2008,Iguana iguana ,Voucher Photographs,Verified,24.6545,-81.2808,,2012,19
619672,2008,Iguana iguana ,Expertise,Verified,25.4622,-80.5746,,2013,43
619675,2008,Iguana iguana ,Expertise,Verified,25.5126,-80.5601,,2014,25
619674,2008,Iguana iguana ,Expertise,Verified,25.5562,-80.5542,,2015,84
619671,2008,Iguana iguana ,Expertise,Verified,25.5708,-80.5374,,2016,112
619670,2008,Iguana iguana ,Expertise,Verified,25.5976,-80.525,,,
615277,2008,Iguana iguana ,Voucher Photographs,Verified,26.0391,-80.2323,,,
615304,2008,Iguana iguana ,Voucher Photographs,Verified,26.603,-82.2226,,,
633051,2009,Iguana iguana ,Expertise,Verified,25.3872,-80.5737,,,
615953,2009,Iguana iguana ,Voucher Photographs,Verified,25.6106,-80.3978,,,
632938,2009,Iguana iguana ,Expertise,Verified,26.3759,-81.6023,,,
632937,2009,Iguana iguana ,Expertise,Verified,26.3894,-81.5995,,,
618215,2009,Iguana iguana ,Specimens,Verified,26.766,-81.9879,,,
632753,2009,Iguana iguana ,Voucher Photographs,Verified,27.2176,-80.2364,,,
633085,2009,Iguana iguana ,,Credible,27.8044,-80.506,,,
633083,2009,Iguana iguana ,,Credible,27.8237,-80.4293,,,
991051,2010,Iguana iguana ,Expertise,Verified,24.5622,-81.679,,,
1331103,2010,Iguana iguana ,Voucher Photographs,Verified,25.6055,-80.5153,,,
1331100,2010,Iguana iguana ,Expertise,Verified,25.614,-80.5073,,,
1332777,2010,Iguana iguana ,Specimens,Verified,25.9385,-80.1642,,,
633513,2010,Iguana iguana ,Voucher Photographs,Verified,26.0831,-81.6886,,,
991071,2010,Iguana iguana ,,Credible,26.4786,-80.1431,,,
1301912,2010,Iguana iguana ,Voucher Photographs,Verified,26.6014,-81.9565,,,
1289687,2010,Iguana iguana ,Voucher Photographs,Verified,30.1194,-85.5887,,,
1817072,2011,Iguana iguana ,Voucher Photographs,Verified,24.7126,-81.3811,,,
1988041,2011,Iguana iguana ,Expertise,Verified,25.5742,-80.3318,,,
