objectid,year, Scientific_ Name, Verification_ Method, Identification_ Credibility,lat,lon,,Year,Occurrences
619676,2002,Leiocephalus carinatus armouri,Voucher Specimens,Verified,26.6858,-80.6842,,2002,1
615699,2003,Leiocephalus carinatus armouri,Voucher Specimens,Verified,25.065,-80.4734,,2003,1
615262,2006,Leiocephalus carinatus armouri,Voucher Photographs,Verified,24.5699,-81.7571,,2004,0
615694,2007,Leiocephalus carinatus armouri,Voucher Specimens,Verified,24.6587,-81.4062,,2005,0
615693,2007,Leiocephalus carinatus armouri,Voucher Specimens,Verified,24.6738,-81.3879,,2006,1
615271,2007,Leiocephalus carinatus armouri,Voucher Photographs,Verified,24.6741,-81.3683,,2007,3
619677,2008,Leiocephalus carinatus armouri,Voucher Photographs,Verified,25.9282,-80.3361,,2008,2
618592,2008,Leiocephalus carinatus armouri,,Credible,26.3195,-80.1715,,2009,1
619278,2009,Leiocephalus carinatus armouri,,Credible,27.2402,-80.2697,,2010,6
1160358,2010,Leiocephalus carinatus armouri,,Credible,25.9023,-80.2216,,2011,13
1184618,2010,Leiocephalus carinatus armouri,,Credible,26.2772,-80.2235,,2012,20
991109,2010,Leiocephalus carinatus armouri,Voucher Photographs,Verified,26.4608,-80.0774,,2013,24
2689672,2010,Leiocephalus carinatus armouri,Voucher Photographs,Verified,27.6523,-80.3635,,2014,29
1194108,2010,Leiocephalus carinatus armouri,Voucher Photographs,Verified,28.2094,-82.7571,,2015,34
1163191,2010,Leiocephalus carinatus armouri,,Credible,28.3177,-80.6104,,2016,33
1817342,2011,Leiocephalus carinatus armouri,Voucher Specimens,Verified,25.1383,-80.3961,,,
1456410,2011,Leiocephalus carinatus armouri,Voucher Photographs,Verified,25.4426,-80.4748,,,
1712899,2011,Leiocephalus carinatus armouri,,Credible,26.1219,-80.2612,,,
4233778,2011,Leiocephalus carinatus armouri,Expertise,Credible,26.2647,-80.2322,,,
1352945,2011,Leiocephalus carinatus armouri,Voucher Photographs,Verified,26.3391,-80.1026,,,
1456408,2011,Leiocephalus carinatus armouri,Expertise,Verified,26.3565,-80.0846,,,
1817089,2011,Leiocephalus carinatus armouri,Voucher Photographs,Verified,26.3704,-80.1326,,,
1456407,2011,Leiocephalus carinatus armouri,Expertise,Verified,26.3876,-80.0984,,,
