objectid,year, Scientific_ Name, Verification_ Method, Identification_ Credibility,lat,lon,,,Year,Occurrences
619959,2008,Python regius ,Voucher Photographs,Verified,24.9234,-80.6319,,,2008,6
1184646,2008,Python regius ,Specimens,Verified,25.7112,-80.3997,,,2009,18
1969316,2008,Python regius ,Expertise,Verified,26.0459,-80.2198,,,2010,19
1969314,2008,Python regius ,Voucher Photographs,Verified,26.0862,-80.2408,,,2011,29
619960,2008,Python regius ,Voucher Photographs,Verified,26.1498,-80.4422,,,2012,26
4207355,2008,Python regius ,Expertise,Credible,29.6458,-82.3565,,,2013,23
1969312,2009,Python regius ,Voucher Specimens,Verified,24.693,-81.0811,,,2014,22
618720,2009,Python regius ,Specimens,Verified,25.0471,-80.4876,,,2015,33
1184679,2009,Python regius ,Specimens,Verified,25.4886,-80.4439,,,2016,34
1184672,2009,Python regius ,Specimens,Verified,25.5516,-80.3928,,,,
1184681,2009,Python regius ,Specimens,Verified,25.6053,-80.3691,,,,
1184734,2009,Python regius ,Specimens,Verified,25.6712,-80.4366,,,,
1184737,2009,Python regius ,Specimens,Verified,25.6908,-80.3528,,,,
1184686,2009,Python regius ,Specimens,Verified,25.7053,-80.4209,,,,
1184653,2009,Python regius ,Specimens,Verified,25.7369,-80.3026,,,,
1184736,2009,Python regius ,Specimens,Verified,25.7427,-80.2241,,,,
1184735,2009,Python regius ,Specimens,Verified,25.7534,-80.3056,,,,
1184654,2009,Python regius ,Specimens,Verified,25.7634,-80.3349,,,,
1184685,2009,Python regius ,Specimens,Verified,25.868,-80.1283,,,,
1184693,2009,Python regius ,Specimens,Verified,25.8681,-80.3365,,,,
1184651,2009,Python regius ,Specimens,Verified,25.9242,-80.306,,,,
1184687,2009,Python regius ,Specimens,Verified,25.947,-80.3323,,,,
618481,2009,Python regius ,Voucher Photographs,Verified,26.9108,-82.0426,,,,
1969310,2009,Python regius ,Voucher Photographs,Verified,27.9831,-81.7484,,,,
1332765,2010,Python regius ,Specimens,Verified,25.5698,-80.3289,,,,
1184741,2010,Python regius ,Specimens,Verified,25.659,-80.3406,,,,
1332770,2010,Python regius ,Specimens,Verified,25.6818,-80.4441,,,,
1332769,2010,Python regius ,Specimens,Verified,25.7129,-80.4631,,,,
1184738,2010,Python regius ,Specimens,Verified,25.7753,-80.3123,,,,
1332790,2010,Python regius ,Specimens,Verified,25.7795,-80.4023,,,,
1332778,2010,Python regius ,Specimens,Verified,25.8614,-80.1882,,,,
1332786,2010,Python regius ,Specimens,Verified,25.8666,-80.2988,,,,
1184742,2010,Python regius ,Specimens,Verified,25.8668,-80.2104,,,,
