objectid,year, Scientific_ Name, Verification_ Method, Identification_ Credibility,lat,lon,,,,Year,Occurrences
615648,1998,Ramphotyphlops braminus ,Voucher Specimens,Verified,29.6357,-82.3589,,,,1998,1
615656,2001,Ramphotyphlops braminus ,Voucher Specimens,Verified,30.5208,-84.199,,,,1999,0
615732,2002,Ramphotyphlops braminus ,Voucher Specimens,Verified,25.9588,-81.747,,,,2000,0
615705,2003,Ramphotyphlops braminus ,Voucher Specimens,Verified,28.8215,-82.3337,,,,2001,1
1817388,2004,Ramphotyphlops braminus ,,Credible,26.0713,-80.3721,,,,2002,1
615322,2004,Ramphotyphlops braminus ,Voucher Photographs,Verified,28.1772,-80.6608,,,,2003,1
615712,2006,Ramphotyphlops braminus ,Voucher Specimens,Verified,29.0258,-80.927,,,,2004,2
615502,2007,Ramphotyphlops braminus ,Voucher Photographs,Verified,25.9939,-80.1176,,,,2005,0
615736,2007,Ramphotyphlops braminus ,Voucher Specimens,Verified,28.7582,-81.7453,,,,2006,1
1817389,2008,Ramphotyphlops braminus ,,Credible,26.1482,-80.2843,,,,2007,2
618607,2009,Ramphotyphlops braminus ,,Credible,27.942,-82.7785,,,,2008,1
1184639,2010,Ramphotyphlops braminus ,Voucher Photographs,Verified,26.0278,-80.3246,,,,2009,1
1292229,2010,Ramphotyphlops braminus ,,Credible,27.1314,-80.8936,,,,2010,2
2024962,2011,Ramphotyphlops braminus ,,Credible,24.6718,-81.3509,,,,2011,2
1352753,2011,Ramphotyphlops braminus ,Specimens,Verified,25.6159,-80.3081,,,,2012,8
2024954,2012,Ramphotyphlops braminus ,,Credible,24.7081,-81.3721,,,,2013,11
2818530,2012,Ramphotyphlops braminus ,Expertise,Verified,25.4901,-80.3716,,,,2014,8
2417696,2012,Ramphotyphlops braminus ,Voucher Photographs,Verified,25.9807,-80.1327,,,,2015,12
2025262,2012,Ramphotyphlops braminus ,,Credible,26.0757,-80.3243,,,,2016,11
2417515,2012,Ramphotyphlops braminus ,Voucher Photographs,Verified,26.1827,-80.1283,,,,,
2417044,2012,Ramphotyphlops braminus ,,Credible,27.5258,-82.6186,,,,,
2462643,2012,Ramphotyphlops braminus ,,Credible,28.0958,-82.5096,,,,,
2398061,2012,Ramphotyphlops braminus ,,Credible,28.5088,-82.4802,,,,,
2935951,2013,Ramphotyphlops braminus ,Expertise,Verified,25.3952,-80.584,,,,,
3128920,2013,Ramphotyphlops braminus ,Expertise,Verified,25.7618,-80.5022,,,,,
3047576,2013,Ramphotyphlops braminus ,,Credible,26.4916,-81.9689,,,,,
4426971,2013,Ramphotyphlops braminus ,Photographs,Verified,27.4663,-82.6022,,,,,
3060763,2013,Ramphotyphlops braminus ,,Credible,28.0172,-82.1285,,,,,
2935830,2013,Ramphotyphlops braminus ,Voucher Photographs,Verified,28.0315,-80.7048,,,,,
2935818,2013,Ramphotyphlops braminus ,Voucher Photographs,Verified,28.0594,-82.7745,,,,,
3059840,2013,Ramphotyphlops braminus ,,Credible,28.0924,-81.8189,,,,,
3046871,2013,Ramphotyphlops braminus ,,Credible,28.312,-82.6961,,,,,
2689601,2013,Ramphotyphlops braminus ,,Credible,28.523,-81.5486,,,,,
3046825,2013,Ramphotyphlops braminus ,Voucher Photographs,Verified,30.4293,-86.6455,,,,,
3196380,2014,Ramphotyphlops braminus ,Voucher Photographs,Verified,25.1489,-80.3904,,,,,
4495218,2014,Ramphotyphlops braminus ,Expertise,Verified,26.06,-80.4464,,,,,
4495219,2014,Ramphotyphlops braminus ,Expertise,Verified,26.2877,-80.2981,,,,,
3910673,2014,Ramphotyphlops braminus ,Voucher Photographs,Verified,26.721,-81.7151,,,,,
3164782,2014,Ramphotyphlops braminus ,Voucher Photographs,Verified,28.0309,-82.6171,,,,,
3943833,2014,Ramphotyphlops braminus ,Voucher Photographs,Verified,28.4831,-80.7798,,,,,
4202691,2014,Ramphotyphlops braminus ,Expertise,Credible,29.0009,-82.3727,,,,,
3164355,2014,Ramphotyphlops braminus ,Voucher Specimens,Verified,29.662,-82.3626,,,,,
4238991,2015,Ramphotyphlops braminus ,Photographs,Verified,25.6358,-80.398,,,,,
4496787,2015,Ramphotyphlops braminus ,Photographs,Verified,25.827,-80.3287,,,,,
4425659,2015,Ramphotyphlops braminus ,Photographs,Verified,26.2158,-80.1917,,,,,
4495220,2015,Ramphotyphlops braminus ,Expertise,Verified,26.2301,-80.4596,,,,,
4495221,2015,Ramphotyphlops braminus ,Expertise,Verified,26.3345,-80.5389,,,,,
4431408,2015,Ramphotyphlops braminus ,Photographs,Verified,26.47,-81.1258,,,,,
4206968,2015,Ramphotyphlops braminus ,Photographs,Verified,26.5738,-81.9965,,,,,
4253605,2015,Ramphotyphlops braminus ,Photographs,Verified,27.8875,-81.8294,,,,,
4240833,2015,Ramphotyphlops braminus ,Expertise,Credible,27.9574,-81.9892,,,,,
4255899,2015,Ramphotyphlops braminus ,Photographs,Verified,28.038,-81.7459,,,,,
4206161,2015,Ramphotyphlops braminus ,Photographs,Verified,28.4751,-80.8139,,,,,
4239392,2015,Ramphotyphlops braminus ,Photographs,Verified,28.6071,-80.8524,,,,,
4865548,2016,Ramphotyphlops braminus ,Expertise,Verified,25.7496,-80.4326,,,,,
4865553,2016,Ramphotyphlops braminus ,Expertise,Verified,25.7599,-80.4652,,,,,
4865549,2016,Ramphotyphlops braminus ,Expertise,Verified,25.7612,-80.8277,,,,,
4865539,2016,Ramphotyphlops braminus ,Expertise,Verified,25.7621,-80.8192,,,,,
