objectid,year, Scientific_ Name, Verification_ Method, Identification_ Credibility,lat,lon,,Year,Occurrences
615754,2002,Salvator merianae ,Voucher Specimens,Verified,27.1948,-80.7314,,2002,1
614755,2005,Salvator merianae ,,Credible,27.774,-82.2714,,2003,0
614688,2005,Salvator merianae ,,Credible,27.7775,-82.2759,,2004,0
614689,2005,Salvator merianae ,,Credible,27.783,-82.2466,,2005,5
615046,2005,Salvator merianae ,Expertise,Verified,27.7994,-82.2785,,2006,21
614756,2005,Salvator merianae ,,Credible,27.8499,-82.1988,,2007,13
614757,2006,Salvator merianae ,,Credible,27.646,-82.1067,,2008,6
614758,2006,Salvator merianae ,,Credible,27.6853,-82.1864,,2009,8
609429,2006,Salvator merianae ,,Credible,27.7665,-82.2702,,2010,18
609040,2006,Salvator merianae ,,Credible,27.777,-82.1467,,2011,24
615676,2006,Salvator merianae ,Voucher Specimens,Verified,27.7772,-82.2503,,2012,52
614730,2006,Salvator merianae ,,Credible,27.7776,-82.2422,,2013,93
615407,2006,Salvator merianae ,Voucher Photographs,Verified,27.7796,-82.0419,,2014,67
614734,2006,Salvator merianae ,,Credible,27.7814,-82.2773,,2015,124
609280,2006,Salvator merianae ,,Credible,27.7816,-82.2545,,2016,98
615713,2006,Salvator merianae ,Voucher Specimens,Verified,27.782,-82.2767,,,
609275,2006,Salvator merianae ,,Credible,27.785,-82.2598,,,
609096,2006,Salvator merianae ,,Credible,27.7868,-82.1452,,,
609276,2006,Salvator merianae ,,Credible,27.7879,-82.2606,,,
609272,2006,Salvator merianae ,,Credible,27.7902,-82.2548,,,
609176,2006,Salvator merianae ,,Credible,27.7954,-82.0501,,,
614740,2006,Salvator merianae ,,Credible,27.7983,-82.2995,,,
609127,2006,Salvator merianae ,,Credible,27.8001,-82.1451,,,
615575,2006,Salvator merianae ,Voucher Photographs,Verified,27.8006,-82.2839,,,
609084,2006,Salvator merianae ,,Credible,27.8028,-82.1029,,,
614692,2006,Salvator merianae ,,Credible,27.9138,-82.2417,,,
615224,2006,Salvator merianae ,Specimens,Verified,28.287,-82.1834,,,
615500,2007,Salvator merianae ,Voucher Photographs,Verified,26.3503,-80.1538,,,
615576,2007,Salvator merianae ,Voucher Photographs,Verified,26.9909,-82.1136,,,
608986,2007,Salvator merianae ,,Credible,27.6793,-82.1209,,,
608840,2007,Salvator merianae ,,Credible,27.7726,-82.2263,,,
608904,2007,Salvator merianae ,,Credible,27.7774,-82.137,,,
608909,2007,Salvator merianae ,,Credible,27.7782,-82.1362,,,
608924,2007,Salvator merianae ,,Credible,27.7842,-82.1402,,,
609144,2007,Salvator merianae ,,Credible,27.7872,-82.2111,,,
608866,2007,Salvator merianae ,,Credible,27.7926,-82.1113,,,
614738,2007,Salvator merianae ,,Credible,27.7928,-82.1561,,,
618285,2007,Salvator merianae ,Voucher Specimens,Verified,27.7973,-82.2852,,,
