objectid,year, Scientific_ Name, Verification_ Method, Identification_ Credibility,lat,lon,,Year,Occurrences
619912,1981,Varanus niloticus ,Expertise,Verified,29.618,-82.4046,,1998,2
2818640,1998,Varanus niloticus ,Specimens,Verified,25.4781,-80.3998,,1999,0
619915,1998,Varanus niloticus ,Voucher Photographs,Verified,26.6327,-82.0732,,2000,0
633125,2002,Varanus niloticus ,Specimens,Verified,26.5985,-82.0152,,2001,0
619914,2002,Varanus niloticus ,Voucher Specimens,Verified,26.5988,-82.0151,,2002,6
619913,2002,Varanus niloticus ,Voucher Specimens,Verified,26.6,-82.0292,,2003,16
618298,2002,Varanus niloticus ,Voucher Photographs,Verified,26.6018,-82.0257,,2004,1
633191,2002,Varanus niloticus ,Specimens,Verified,26.6045,-82.0235,,2005,16
618302,2002,Varanus niloticus ,Voucher Photographs,Verified,26.6072,-82.0233,,2006,10
633362,2003,Varanus niloticus ,Specimens,Verified,26.5445,-82.0168,,2007,17
633173,2003,Varanus niloticus ,Specimens,Verified,26.593,-82.0228,,2008,24
633280,2003,Varanus niloticus ,Specimens,Verified,26.594,-82.034,,2009,11
633316,2003,Varanus niloticus ,Specimens,Verified,26.5953,-82.0306,,2010,17
633313,2003,Varanus niloticus ,Specimens,Verified,26.5961,-82.0311,,2011,24
618303,2003,Varanus niloticus ,Voucher Photographs,Verified,26.5965,-81.9791,,2012,15
633228,2003,Varanus niloticus ,Specimens,Verified,26.5967,-82.0317,,2013,10
633250,2003,Varanus niloticus ,Specimens,Verified,26.5991,-82.0318,,2014,10
633265,2003,Varanus niloticus ,Specimens,Verified,26.5997,-82.0361,,2015,41
633146,2003,Varanus niloticus ,Specimens,Verified,26.5997,-82.0188,,2016,56
633267,2003,Varanus niloticus ,Specimens,Verified,26.601,-82.0343,,,
633206,2003,Varanus niloticus ,Specimens,Verified,26.6027,-82.0318,,,
633304,2003,Varanus niloticus ,Specimens,Verified,26.604,-82.0369,,,
633176,2003,Varanus niloticus ,Specimens,Verified,26.6063,-82.0232,,,
633109,2003,Varanus niloticus ,Specimens,Verified,26.6783,-81.9724,,,
618306,2003,Varanus niloticus ,Voucher Photographs,Verified,28.598,-81.1714,,,
633284,2004,Varanus niloticus ,Specimens,Verified,26.6057,-82.0343,,,
633356,2005,Varanus niloticus ,Specimens,Verified,26.5495,-82.0243,,,
633345,2005,Varanus niloticus ,Specimens,Verified,26.5548,-82.033,,,
633133,2005,Varanus niloticus ,Specimens,Verified,26.5561,-82.0176,,,
633287,2005,Varanus niloticus ,Specimens,Verified,26.5583,-82.0342,,,
633278,2005,Varanus niloticus ,Specimens,Verified,26.564,-82.0331,,,
633272,2005,Varanus niloticus ,Specimens,Verified,26.5736,-82.0324,,,
633334,2005,Varanus niloticus ,Specimens,Verified,26.5803,-82.0249,,,
633283,2005,Varanus niloticus ,Specimens,Verified,26.5805,-82.0341,,,
633201,2005,Varanus niloticus ,Specimens,Verified,26.5823,-82.0266,,,
633243,2005,Varanus niloticus ,Specimens,Verified,26.5866,-82.0301,,,
633106,2005,Varanus niloticus ,Specimens,Verified,26.5927,-81.9985,,,
633320,2005,Varanus niloticus ,Specimens,Verified,26.5942,-82.0106,,,
633321,2005,Varanus niloticus ,Specimens,Verified,26.5948,-82.0093,,,
633314,2005,Varanus niloticus ,Specimens,Verified,26.5952,-82.0103,,,
633319,2005,Varanus niloticus ,Specimens,Verified,26.5953,-82.0113,,,
633160,2005,Varanus niloticus ,Specimens,Verified,26.597,-82.0215,,,
633305,2006,Varanus niloticus ,Specimens,Verified,26.575,-82.036,,,
633340,2006,Varanus niloticus ,Specimens,Verified,26.577,-82.0278,,,
633266,2006,Varanus niloticus ,Specimens,Verified,26.5791,-82.0332,,,
633331,2006,Varanus niloticus ,Specimens,Verified,26.5875,-82.0314,,,
633285,2006,Varanus niloticus ,Specimens,Verified,26.5914,-82.0336,,,
633115,2006,Varanus niloticus ,Specimens,Verified,26.5944,-82.0102,,,
633150,2006,Varanus niloticus ,Specimens,Verified,26.6129,-82.01,,,
633153,2006,Varanus niloticus ,Specimens,Verified,26.6141,-82.0102,,,
633123,2006,Varanus niloticus ,Specimens,Verified,26.6161,-82.0223,,,
1713555,2006,Varanus niloticus ,Voucher Photographs,Verified,26.8284,-80.1626,,,
2818642,2007,Varanus niloticus ,Specimens,Verified,25.4958,-80.3737,,,
618296,2007,Varanus niloticus ,Voucher Photographs,Verified,26.0174,-80.2481,,,
615059,2007,Varanus niloticus ,Expertise,Verified,26.0315,-80.4135,,,
609076,2007,Varanus niloticus ,,Credible,26.0331,-80.3776,,,
633366,2007,Varanus niloticus ,Specimens,Verified,26.5427,-81.9967,,,
633344,2007,Varanus niloticus ,Specimens,Verified,26.5596,-82.0097,,,
633343,2007,Varanus niloticus ,Specimens,Verified,26.5705,-82.0322,,,
633307,2007,Varanus niloticus ,Specimens,Verified,26.5965,-82.024,,,
633147,2007,Varanus niloticus ,Specimens,Verified,26.6002,-82.019,,,
633208,2007,Varanus niloticus ,Specimens,Verified,26.6016,-82.0306,,,
633121,2007,Varanus niloticus ,Specimens,Verified,26.618,-82.011,,,
633372,2007,Varanus niloticus ,Specimens,Verified,26.6221,-82.0229,,,
633111,2007,Varanus niloticus ,Specimens,Verified,26.623,-82.0104,,,
633368,2007,Varanus niloticus ,Specimens,Verified,26.6242,-81.9946,,,
615417,2007,Varanus niloticus ,Voucher Photographs,Verified,26.6792,-80.1702,,,
609085,2007,Varanus niloticus ,,Credible,28.3132,-81.4518,,,
614789,2007,Varanus niloticus ,Photographs,Verified,28.6732,-81.3186,,,
609395,2008,Varanus niloticus ,,Credible,25.4239,-80.4883,,,
609327,2008,Varanus niloticus ,,Credible,25.4781,-80.3716,,,
2818580,2008,Varanus niloticus ,Specimens,Verified,25.4818,-80.3833,,,
2818726,2008,Varanus niloticus ,Specimens,Verified,25.4828,-80.3888,,,
2818663,2008,Varanus niloticus ,Specimens,Verified,25.4853,-80.384,,,
2818645,2008,Varanus niloticus ,Specimens,Verified,25.489,-80.3805,,,
2818727,2008,Varanus niloticus ,Specimens,Verified,25.4894,-80.3793,,,
609389,2008,Varanus niloticus ,,Credible,25.4894,-80.3616,,,
2818643,2008,Varanus niloticus ,Specimens,Verified,25.4911,-80.3771,,,
633140,2008,Varanus niloticus ,Specimens,Verified,26.5705,-82.0195,,,
609145,2008,Varanus niloticus ,,Credible,26.581,-80.7111,,,
633324,2008,Varanus niloticus ,Specimens,Verified,26.5903,-82.0361,,,
633151,2008,Varanus niloticus ,Specimens,Verified,26.5937,-82.0191,,,
633317,2008,Varanus niloticus ,Specimens,Verified,26.5944,-82.0301,,,
633310,2008,Varanus niloticus ,Specimens,Verified,26.595,-82.023,,,
633318,2008,Varanus niloticus ,Specimens,Verified,26.5967,-81.9674,,,
633301,2008,Varanus niloticus ,Specimens,Verified,26.6025,-82.0364,,,
633227,2008,Varanus niloticus ,Specimens,Verified,26.6025,-82.0097,,,
633141,2008,Varanus niloticus ,Specimens,Verified,26.6117,-81.9909,,,
633167,2008,Varanus niloticus ,Specimens,Verified,26.6211,-82.0224,,,
633105,2008,Varanus niloticus ,Specimens,Verified,26.6331,-82.0061,,,
633367,2008,Varanus niloticus ,Specimens,Verified,26.6372,-81.9937,,,
633110,2008,Varanus niloticus ,Specimens,Verified,26.6497,-81.9583,,,
1346415,2008,Varanus niloticus ,,Credible,26.7609,-80.1447,,,
2818733,2009,Varanus niloticus ,Specimens,Verified,25.4784,-80.4011,,,
633175,2009,Varanus niloticus ,Specimens,Verified,26.5582,-82.0243,,,
618293,2009,Varanus niloticus ,Expertise,Verified,26.5601,-81.9199,,,
633229,2009,Varanus niloticus ,Specimens,Verified,26.5606,-82.0295,,,
633255,2009,Varanus niloticus ,Specimens,Verified,26.581,-82.0324,,,
633233,2009,Varanus niloticus ,Specimens,Verified,26.5864,-82.0295,,,
633171,2009,Varanus niloticus ,Specimens,Verified,26.6216,-82.0229,,,
633369,2009,Varanus niloticus ,Specimens,Verified,26.6334,-81.9964,,,
1160320,2009,Varanus niloticus ,Voucher Photographs,Verified,26.6771,-80.0955,,,
1955233,2009,Varanus niloticus ,Voucher Photographs,Verified,26.6775,-80.1389,,,
619916,2009,Varanus niloticus ,,Credible,28.0788,-80.638,,,
1301933,2010,Varanus niloticus ,Voucher Photographs,Verified,25.0827,-80.4597,,,
2818553,2010,Varanus niloticus ,Expertise,Verified,25.4822,-80.4089,,,
2818544,2010,Varanus niloticus ,Specimens,Verified,25.4832,-80.4,,,
2818551,2010,Varanus niloticus ,Expertise,Verified,25.4856,-80.4049,,,
1184748,2010,Varanus niloticus ,Specimens,Verified,25.6481,-80.4316,,,
1302267,2010,Varanus niloticus ,Specimens,Verified,26.5477,-81.9788,,,
1302256,2010,Varanus niloticus ,Specimens,Verified,26.558,-82.0351,,,
1302279,2010,Varanus niloticus ,Specimens,Verified,26.561,-82.0185,,,
1302269,2010,Varanus niloticus ,Specimens,Verified,26.587,-82.0298,,,
1302280,2010,Varanus niloticus ,Specimens,Verified,26.5948,-82.023,,,
1302278,2010,Varanus niloticus ,Specimens,Verified,26.5971,-81.9971,,,
1302274,2010,Varanus niloticus ,Specimens,Verified,26.5986,-81.9971,,,
1302273,2010,Varanus niloticus ,Specimens,Verified,26.6005,-82.0041,,,
1160319,2010,Varanus niloticus ,,Credible,26.6777,-80.1166,,,
1160321,2010,Varanus niloticus ,,Credible,26.6779,-80.1285,,,
1350912,2010,Varanus niloticus ,Voucher Photographs,Verified,27.0405,-82.2375,,,
1184614,2010,Varanus niloticus ,,Credible,28.3755,-82.5411,,,
1337230,2011,Varanus niloticus ,Voucher Photographs,Verified,25.4958,-80.4043,,,
1666178,2011,Varanus niloticus ,Voucher Photographs,Verified,26.0238,-80.175,,,
1713045,2011,Varanus niloticus ,Expertise,Verified,26.0312,-80.1949,,,
2418623,2011,Varanus niloticus ,Specimens,Verified,26.5653,-82.009,,,
2418607,2011,Varanus niloticus ,Specimens,Verified,26.6004,-82.0307,,,
2418622,2011,Varanus niloticus ,Specimens,Verified,26.6004,-82.0166,,,
2418612,2011,Varanus niloticus ,Specimens,Verified,26.6007,-82.0208,,,
2418611,2011,Varanus niloticus ,Specimens,Verified,26.6032,-82.0288,,,
2418610,2011,Varanus niloticus ,Specimens,Verified,26.6213,-82.0097,,,
1456384,2011,Varanus niloticus ,,Credible,26.6312,-82.1132,,,
1969339,2011,Varanus niloticus ,,Credible,26.6345,-82.0064,,,
1712900,2011,Varanus niloticus ,,Credible,26.6687,-80.0883,,,
1713041,2011,Varanus niloticus ,Voucher Photographs,Verified,26.6704,-80.0722,,,
1969386,2011,Varanus niloticus ,,Credible,26.6773,-80.1371,,,
1817062,2011,Varanus niloticus ,,Credible,26.6773,-80.1002,,,
1713030,2011,Varanus niloticus ,Voucher Photographs,Verified,26.6777,-80.132,,,
1350943,2011,Varanus niloticus ,,Credible,26.6778,-80.1652,,,
1986076,2011,Varanus niloticus ,Voucher Photographs,Verified,26.678,-80.142,,,
1713027,2011,Varanus niloticus ,,Credible,26.6783,-80.185,,,
2409768,2011,Varanus niloticus ,Voucher Photographs,Verified,26.6783,-80.1607,,,
2651732,2011,Varanus niloticus ,Expertise,Verified,26.6798,-80.198,,,
2651724,2011,Varanus niloticus ,Expertise,Verified,26.6818,-80.2683,,,
1352752,2011,Varanus niloticus ,Voucher Photographs,Verified,26.8511,-80.2962,,,
1988428,2011,Varanus niloticus ,Voucher Photographs,Verified,29.491,-82.256,,,
2027686,2012,Varanus niloticus ,Voucher Photographs,Verified,26.0296,-80.3893,,,
2278666,2012,Varanus niloticus ,Voucher Photographs,Verified,26.0523,-80.3819,,,
2651828,2012,Varanus niloticus ,Specimens,Verified,26.2097,-80.2457,,,
2276192,2012,Varanus niloticus ,,Credible,26.3248,-80.1255,,,
2418624,2012,Varanus niloticus ,Specimens,Verified,26.5674,-82.0321,,,
2418634,2012,Varanus niloticus ,Specimens,Verified,26.5745,-82.0024,,,
2418628,2012,Varanus niloticus ,Specimens,Verified,26.5809,-82.0186,,,
2418633,2012,Varanus niloticus ,Specimens,Verified,26.5907,-81.9985,,,
3059108,2012,Varanus niloticus ,Specimens,Verified,26.5963,-81.9971,,,
2019703,2012,Varanus niloticus ,Voucher Photographs,Verified,26.6771,-80.1657,,,
2019715,2012,Varanus niloticus ,Voucher Photographs,Verified,26.6772,-80.0986,,,
2651712,2012,Varanus niloticus ,Expertise,Verified,26.6776,-80.1201,,,
2024505,2012,Varanus niloticus ,Voucher Photographs,Verified,26.6778,-80.1387,,,
2418274,2012,Varanus niloticus ,Voucher Photographs,Verified,26.6799,-80.1974,,,
2410192,2012,Varanus niloticus ,Voucher Photographs,Credible,27.0619,-82.167,,,
2935645,2013,Varanus niloticus ,Expertise,Verified,25.4893,-80.3914,,,
2689311,2013,Varanus niloticus ,Expertise,Credible,26.0579,-80.2696,,,
3059116,2013,Varanus niloticus ,Specimens,Verified,26.5675,-82.0183,,,
3059124,2013,Varanus niloticus ,Specimens,Verified,26.5782,-82.0092,,,
3059117,2013,Varanus niloticus ,Specimens,Verified,26.6065,-81.9961,,,
3101764,2013,Varanus niloticus ,Expertise,Verified,26.6334,-80.1689,,,
3067806,2013,Varanus niloticus ,Specimens,Verified,26.6768,-80.1001,,,
3044496,2013,Varanus niloticus ,Voucher Photographs,Verified,26.6817,-80.2558,,,
3165199,2013,Varanus niloticus ,Voucher Photographs,Verified,26.6828,-80.2914,,,
3047005,2013,Varanus niloticus ,,Credible,26.7408,-82.0417,,,
4495320,2014,Varanus niloticus ,Specimens,Verified,26.5873,-81.9843,,,
3196572,2014,Varanus niloticus ,Expertise,Verified,26.6772,-80.1117,,,
3943704,2014,Varanus niloticus ,Expertise,Verified,26.6774,-80.11,,,
4483010,2014,Varanus niloticus ,Expertise,Verified,26.6802,-80.2083,,,
4483020,2014,Varanus niloticus ,Expertise,Verified,26.6806,-80.2219,,,
3229904,2014,Varanus niloticus ,Expertise,Verified,26.6811,-80.246,,,
3943630,2014,Varanus niloticus ,Voucher Photographs,Verified,26.6823,-80.2784,,,
4495377,2014,Varanus niloticus ,Specimens,Verified,26.9974,-82.6413,,,
3152648,2014,Varanus niloticus ,Voucher Photographs,Verified,28.0963,-82.7799,,,
3954680,2014,Varanus niloticus ,Expertise,Possible,,,,,
4495235,2015,Varanus niloticus ,Expertise,Possible,26.0112,-80.1495,,,
4494758,2015,Varanus niloticus ,Expertise,Possible,26.0353,-81.6627,,,
4495233,2015,Varanus niloticus ,Specimens,Verified,26.0368,-80.385,,,
4495236,2015,Varanus niloticus ,Expertise,Credible,26.0523,-80.1439,,,
4494756,2015,Varanus niloticus ,Expertise,Possible,26.142,-81.7948,,,
4495234,2015,Varanus niloticus ,Expertise,Possible,26.1804,-80.1373,,,
4494757,2015,Varanus niloticus ,Expertise,Possible,26.2187,-81.7916,,,
