Parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,green iguana (<em>Iguana iguana</em>),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
objectid, Reporter, Observation_ Date, Year_ Accuracy, Date_ Entered, Date_ Updated, Updated_ By, Collector, F W C  Observation  I D, Date_ Uncertainty, Report_ Ownership, Source_ Type, Florida_ Reporter, Weed_ Watch_ I D, Observation_ Identifier, Common_ Name, Scientific_ Name, Phenology, Nativity, Original_ Reported_ Subject, Sex, Reviewer_ Identifier, Confidence, Voucher, Herbarium, Herbarium_ Record, Reference, Host, Host_ Name, Host_ Phenology, Host_ Damage, Maturity, Life_ Status, Smallest_ Observed, Largest_ Observed, Incidence, Severity, Verification_ Method, Identification_ Credibility, Identification_ Date, Reviewed, Reviewer, Date_ Reviewed, Number_ Collected, Abundance, Density, Gross_ Area, Gross_ Area_ Units, Infested_ Area, Infested_ Area_ Units, Native_ Canopy_ Cover, Stem_ Count, Treatment, Treatment_ Area, Treatment_ Comments, Aggressiveness, Disturbance_ Age, Distrubance_ I D, Control_ Action, Patch_ Type, Disturbance, Population_ Size, Invasive_ Canopy_ Cover, Overall_percent_of_water_surface_of_plot_covered_by_vegetation, Overall_percent_of_water_surface_of_water_ Body_covered_by_vegetation, Eradication_ Date, Plants_ Treated, Habitat, Locality, Huc_ Number, Elevation, Disturbance_ Type, Disturbance_ Severity, Management_ Type, Impacted_ Resources, Location, Coordinates, F I P S_codes, City, Section,township, Range, Quart, Quad, Quad_ Number, Quarter_ Quad, Local_ Ownership, National_ Ownership, Satellite, Forest_ Service_ Region, National_ Forest, Ranger_ District, A K E P I C_ Site, A K E P I C_ Original_ Site, Map_ Scale, Map_ Source, Map_ Date, Access, Site_ Name, Coordinate_ Uncertainty, Depth_of_ Water, Water_ Body_ Type, Water_ Velocity, Water_ Clarity, Nutrient_ Level, Salinity_and_ Tide, Aspect, Soil_ Moisture, Substrate, C W M A_ Name, Alberta_ Jurisdiction, Sighting_ Waterbody_ I D, Lake/ Bay_ Name, Lake/ Bay_ Type, Creek_ Name, Creek_ Type, River_ Name, River_ Type, Muncipality_ Name, Conservation_ Authority_ Name, Provincial_ Park_ Name, Fisheries_ Management_ Zone_ I D, M N R_ District_ Boundaries_ Name, Conservation_ Area_ I D, Conservation_ Area_ Name, Quaternary_ Watershed_ I D, Tertiary_ Watershed_ I D, Conservation_ Reserves_ Name, First_ Nation_ Name, Federal_ Lands_ Name, Federal_ Lands_ Type, Florida_ Location_ I D, Refuge, Course, Elevation_ Uncertainty_ In_ Meters, Speed_ In_ Meters_ Per_ Second, Conservation_ Area, Water_ Body_ Name, Data_ Type, Study_ Type, Visit_ Type,method, Precision, Surveyor, Other_ Surveyors, Reporter_ Affiliation, Source_ Name, Source_ I D, Site, U R L, Datum, G P S_ Model, Comments, Project_ Name, Project_ Description, Project_ Method, Project_ Discussion, Collection_ Time, Start_ Time, Stop_ Time, Agent_ Source, Quantity, Trap_ Type, Number_ Of_ Traps, Target_ Name, Target_ Count, Target_ Range, Species_found,polygon Wkt
4904673,Derrick Gainey  ,22-Jun-17,,22-Jun-17,22-Jun-17,,,,,General Public,iPhone,,,,green iguana,Iguana iguana ,,,,,Jake Travers,,,,,,,,,,,,,,,,Photographs,Verified,23-Jun-17,Verified,FWCC Exotic Species Database,23-Jun-17,Multiple,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broward County, Florida, United States","25.9783, -80.2637",12011,,,,,,,,,,,,,,,,,,,,,,10 Meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGS84     ,,,,,,,60,,,,,,,,,,Positive,POINT (-80.26366 25.97828)
4902173,Benjamin Machado  ,16-Jun-17,,19-Jun-17,,,,,,General Public,Web Report,,,,green iguana,Iguana iguana ,Adult,,,,Jake Travers,,0,,,,,,,,,Alive,24 Inches,42 Inches,,,Photographs,Verified,20-Jun-17,Verified,FWCC Exotic Species Database,20-Jun-17,,,,4.00E+06,sq feet,16,sq feet,,,,,,,,,,,,3,,,,,,Aquatic: Freshwater,"1017 Gleason PkwyAddress approximation. Iguanas seen at bank of canal ROW, bordering empty lots.",,,,,,,"Lee County, Florida, United States","26.593, -81.9969",12071,,,,,,,,,,Public Water                                                                                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGS84     ,,,,,Observation,,,,,,,,,,,,Positive,POINT (-81.9969066667 26.59304)
4900906,Robert Repenning Lee County Parks ,13-Jun-17,,13-Jun-17,13-Jun-17,,,,,,iPhone,,,,green iguana,Iguana iguana ,,,,,clinton cunningham,,,,,,,,,,,,,,,,Photographs,Verified,14-Jun-17,Verified,clinton cunningham,14-Jun-17,Acres,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee County, Florida, United States","26.577, -81.9427",12071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGS84     ,,,,,,,5,,,,,,,,,,Positive,POINT (-81.94267 26.57704)
4900502,LAWRENCE BONE  ,11-Jun-17,,12-Jun-17,,,,,,,Web Report,,,Lawrence Bone,green iguana,Iguana iguana ,Adult,,,,Crystal Hebets,,0,"Seawall, north edge of property at 1402 Vendome Court, Cape Coral Florida                                                                                                                                                                                      ",,,,,,,,Alive,20 Inches,36 Inches,,,Photographs,Verified,12-Jun-17,Verified,clinton cunningham,12-Jun-17,,,,1,acres,,0,,,,,,,,,,,,2,,,,,,Yard/Garden                                       ,1402 Vendome Court Cape Coral Florica,,,,,,,"Lee County, Florida, United States","26.5602, -81.9492",12071,,,,,,,,,,Private Land*                                                                                       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGS84     ,,I kinda LIKE these guys...  I know we're supposed to report them as non native... will this result in them being ... removed?,,,Observation,,,,,,,,,,,,Positive,POINT (-81.9491645693779 26.560212995265051)
4900400,Dave Jensen  ,9-Jun-17,,12-Jun-17,,,,,,,Web Report,,,"Me, Dave Jensen",green iguana,Iguana iguana ,Unknown,,,,Crystal Hebets,,0,,,,,,,,,Dead,,12 Inches,,,Other,Credible,12-Jun-17,Verified,FWCC Exotic Species Database,12-Jun-17,,,,,0,,sq feet,,,,,,,,,,,,,,,,,,,middle part of Captiva Island at my home address that I have provide you.,,,,,,,"Lee County, Florida, United States",,12071,,,,,,,,,,Private Land*                                                                                       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGS84     ,,"Sorry, the photo I took there is an issue in sending, I observed two small green iguana's approx. 12 inches long each",,,Observation,,,,,,,,,,,,Positive,
4900276,Francesca Mardis  ,11-Jun-17,,11-Jun-17,11-Jun-17,,,,,,Android,,,,green iguana,Iguana iguana ,,,,,Crystal Hebets,,,,,,,,,,,,,,,,Photographs,Verified,12-Jun-17,Verified,FWCC Exotic Species Database,12-Jun-17,One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Miami-Dade County, Florida, United States","25.7363, -80.1664",12086,,,,,,,,,,,,,,,,,,,,,,6 Meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGS84     ,,I have placed this report under Green Iguana but quite frankly I'm not certain what this animal is. the animals about 18 inches to 20 inches long with black and green stripes going all the way up to its rib area. it is not a bright green animal though it is green and yellow with black. the animal was located near a large green iguana just west of the Sea Aquarium parking lot.,,,,,10,,,,,,,,,,Positive,POINT (-80.1663806 25.7363104)
4900275,Francesca Mardis  ,11-Jun-17,,11-Jun-17,11-Jun-17,,,,,,Android,,,,green iguana,Iguana iguana ,,,,,Crystal Hebets,,,,,,,,,,,,,,,,Photographs,Verified,12-Jun-17,Verified,FWCC Exotic Species Database,12-Jun-17,Multiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Miami-Dade County, Florida, United States","25.7363, -80.1664",12086,,,,,,,,,,,,,,,,,,,,,,7 Meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGS84     ,,Key Biscayne to the west of the Sea Aquarium parking lot,,,,,10,,,,,,,,,,Positive,POINT (-80.1663627 25.7363458)
4900052,Susan Brownyer  ,8-Jun-17,,8-Jun-17,,,,,,,Web Report,,,,green iguana,Iguana iguana ,Unknown,,,,Crystal Hebets,,0,,,,,,,,,Alive,,24 Inches,,,Other,Credible,9-Jun-17,Verified,FWCC Exotic Species Database,9-Jun-17,,,,,0,,0,,,,,,,,,,,,,,,,,,Yard/Garden                                       ,"I saw a Bright green iguana crossing the road (Heathcote) just east of Heathcote Gardens which is just off US1 in Fort Pierce, FL",,,,,,,"St. Lucie County, Florida, United States",,12111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGS84     ,,Size is approximate. I saw the lizard as I was driving.,,,Observation,,,,,,,,,,,,Positive,
4899420,Francesca Mardis  ,4-Jun-17,,4-Jun-17,4-Jun-17,,,,,,Android,,,,green iguana,Iguana iguana ,,,,,Crystal Hebets,,,,,,,,,,,,,,,,Photographs,Verified,5-Jun-17,Verified,FWCC Exotic Species Database,5-Jun-17,Multiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Miami-Dade County, Florida, United States","25.7397, -80.3077",12086,,,,,,,,,,,,,,,,,,,,,,4 Meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGS84     ,,there appear to be multiple blue iguanas and green iguanas in this location at the end of ludlam Trail,,,,,15,,,,,,,,,,Positive,POINT (-80.3076712 25.7396742)
4889366,Chris rayneri  ,20-May-17,,20-May-17,2-Jun-17,,,,,,iPhone,,,,green iguana,Iguana iguana ,,,,,Crystal Hebets,,0,,,,,,,,,,,,,,Photographs,Verified,22-May-17,Verified,FWCC Exotic Species Database,22-May-17,Multiple,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Miami-Dade County, Florida, United States","25.7201, -80.3728",12086,,,,,,,,,,,,,,,,,,,,,,8 Meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGS84     ,,,,,,,5,,,,,,,,,,Positive,POINT (-80.3728 25.72011)
4889332,Lorraine Savoury  ,20-May-17,,20-May-17,,,,,,,Web Report,,,,green iguana,Iguana iguana ,Unknown,,,,Crystal Hebets,,0,,,,,,,,,Alive,,36 Inches,,,Expertise,Possible,22-May-17,Verified,FWCC Exotic Species Database,22-May-17,,,,,0,,0,,,,,,,,,,,,,,,,,,,"While cutting my lawn this morning i observed a lg. green iguana approx. 3ft. long walking around in my back yard, this was very frightning. He was huge. My address is 15693 88th place north, Loxahatchee, fl. This reptile  is green, with brown and  beige on its tail end. I am not sure if there is infestation, as this is the first lg. one i have seen",,,,,,,"Palm Beach County, Florida, United States",,12099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGS84     ,,,,,,,,,,,,,,,,,Positive,
4888406,Celeste De Palma  ,13-May-17,,13-May-17,13-May-17,,,,,,Android,,,,green iguana,Iguana iguana ,,,,,Crystal Hebets,,,,,,,,,,,,,,,,Photographs,Verified,22-May-17,Verified,FWCC Exotic Species Database,22-May-17,One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Miami-Dade County, Florida, United States","25.9672, -80.1318",12086,,,,,,,,,,,,,,,,,,,,,,6 Meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGS84     ,,,,,,,5,,,,,,,,,,Positive,POINT (-80.1317838 25.96715197)
